file_stem,hardware_source,pair_type,role_a,role_b,image_a_path,image_a_sha256,image_b_path,image_b_sha256,original_size,model_input_size,layer4_1_cosine,avgpool_cosine,cosine_reconvergence,layer4_1_relative_l2,avgpool_relative_l2,relative_l2_reconvergence
arabic-003_03,huawei,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/huawei/arabic-003_03.jpg,656ff1b4dd0cdaef972c7edf4101876841753d9c3a5dc28b65ba54a1483a35bf,train/bonafide/huawei/arabic-003_03.jpg,0a2f985ead79169ead378f14d1af08f4d22f35641bb9e2ad37e9d5d3730be007,"(3023, 1884)","(410, 256)",0.9478517770767212,0.9860400557518005,0.038188278675079346,0.3236575722694397,0.16855256259441376,0.15510500967502594
arabic-003_03,huawei,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/huawei/arabic-003_03.jpg,d049fe38f3ec2b3febe1e962cd4be127698f8b76461549f90472170028ed9a6f,train/bonafide/huawei/arabic-003_03.jpg,0a2f985ead79169ead378f14d1af08f4d22f35641bb9e2ad37e9d5d3730be007,"(3023, 1884)","(410, 256)",0.9648237228393555,0.9902666807174683,0.025442957878112793,0.26544660329818726,0.1395236998796463,0.12592290341854095
arabic-003_03,huawei,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/huawei/arabic-003_03.jpg,656ff1b4dd0cdaef972c7edf4101876841753d9c3a5dc28b65ba54a1483a35bf,train/attack/digital_2/huawei/arabic-003_03.jpg,d049fe38f3ec2b3febe1e962cd4be127698f8b76461549f90472170028ed9a6f,"(3023, 1884)","(410, 256)",0.9310790300369263,0.9793704748153687,0.04829144477844238,0.372620165348053,0.20426487922668457,0.1683552861213684
arabic-003_03,iphone15pro,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/iphone15pro/arabic-003_03.jpg,275d7d5d9f1e0611a23a373909e5e7a3c6b776be5176a7b16017aadd470f5ca7,train/bonafide/iphone15pro/arabic-003_03.jpg,a5e1940620b27684a6516d7be97120090e0bd66db136a3b14c140aa3664477df,"(2619, 1605)","(417, 256)",0.9287245273590088,0.9801009893417358,0.05137646198272705,0.37809500098228455,0.20391066372394562,0.17418433725833893
arabic-003_03,iphone15pro,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/iphone15pro/arabic-003_03.jpg,0671853c41ca3b36425269793a038b2a417579255fb814e80ff4a6d1678672cc,train/bonafide/iphone15pro/arabic-003_03.jpg,a5e1940620b27684a6516d7be97120090e0bd66db136a3b14c140aa3664477df,"(2619, 1605)","(417, 256)",0.9626725912094116,0.9906992316246033,0.02802664041519165,0.2742050588130951,0.13638921082019806,0.13781584799289703
arabic-003_03,iphone15pro,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/iphone15pro/arabic-003_03.jpg,275d7d5d9f1e0611a23a373909e5e7a3c6b776be5176a7b16017aadd470f5ca7,train/attack/digital_2/iphone15pro/arabic-003_03.jpg,0671853c41ca3b36425269793a038b2a417579255fb814e80ff4a6d1678672cc,"(2619, 1605)","(417, 256)",0.9146662950515747,0.9763534069061279,0.06168711185455322,0.4153365194797516,0.22162170708179474,0.19371481239795685
arabic-003_03,scan,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/scan/arabic-003_03.jpg,2a928839fa410bfe3ec4bc31a71db8ad716a97f9d0d37cac40998ff8df23e06f,train/bonafide/scan/arabic-003_03.jpg,be5d55392dfd152ed28550856184a8849f8b20ffb6024734dd782f2f8f227c5a,"(2001, 1244)","(411, 256)",0.9359104633331299,0.9801910519599915,0.04428058862686157,0.3586145341396332,0.2018573135137558,0.15675722062587738
arabic-003_03,scan,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/scan/arabic-003_03.jpg,54152be11fb28ffb15928101c8ec272560425e5eafdec9d715c4290d21c3f953,train/bonafide/scan/arabic-003_03.jpg,be5d55392dfd152ed28550856184a8849f8b20ffb6024734dd782f2f8f227c5a,"(2001, 1244)","(411, 256)",0.9590349793434143,0.9886230826377869,0.02958810329437256,0.28715187311172485,0.15097764134407043,0.13617423176765442
arabic-003_03,scan,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/scan/arabic-003_03.jpg,2a928839fa410bfe3ec4bc31a71db8ad716a97f9d0d37cac40998ff8df23e06f,train/attack/digital_2/scan/arabic-003_03.jpg,54152be11fb28ffb15928101c8ec272560425e5eafdec9d715c4290d21c3f953,"(2001, 1244)","(411, 256)",0.9148594737052917,0.9727201461791992,0.05786067247390747,0.41490447521209717,0.23695743083953857,0.1779470443725586
arabic-005_03,huawei,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/huawei/arabic-005_03.jpg,725eca7ff982a1c1f4032ddb0c44596ff489109d725e39d7f1bb7e4e103c344c,train/bonafide/huawei/arabic-005_03.jpg,e94b0ff71e2a8eaf68e5d0932e4d96804385ba4f70cd24f3132cf8e898d01d19,"(3068, 1882)","(417, 256)",0.9215229749679565,0.9795494675636292,0.05802649259567261,0.40078407526016235,0.205313041806221,0.19547103345394135
arabic-005_03,huawei,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/huawei/arabic-005_03.jpg,510d0438f0a7f84da3a8c338f879ac6791acb770e7a412f69c9894445030a96a,train/bonafide/huawei/arabic-005_03.jpg,e94b0ff71e2a8eaf68e5d0932e4d96804385ba4f70cd24f3132cf8e898d01d19,"(3068, 1882)","(417, 256)",0.9521480798721313,0.9876968264579773,0.03554874658584595,0.3094489574432373,0.15687216818332672,0.15257678925991058
arabic-005_03,huawei,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/huawei/arabic-005_03.jpg,725eca7ff982a1c1f4032ddb0c44596ff489109d725e39d7f1bb7e4e103c344c,train/attack/digital_2/huawei/arabic-005_03.jpg,510d0438f0a7f84da3a8c338f879ac6791acb770e7a412f69c9894445030a96a,"(3068, 1882)","(417, 256)",0.9436337947845459,0.9875369668006897,0.0439031720161438,0.3400050103664398,0.16217546164989471,0.1778295487165451
arabic-005_03,iphone15pro,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/iphone15pro/arabic-005_03.jpg,d3188f576c20431853d7d6702a20e9177d9a025c908a493268867c3895e6a21e,train/bonafide/iphone15pro/arabic-005_03.jpg,0f1c951169aaab77ce868e4cb066958426a2e2aa5a02fb896c45662da887078c,"(2743, 1703)","(412, 256)",0.9159773588180542,0.9784939885139465,0.06251662969589233,0.41970881819725037,0.21979542076587677,0.1999133974313736
arabic-005_03,iphone15pro,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/iphone15pro/arabic-005_03.jpg,d52070b65eaf51e45d58a18212320d55b5ae62962e6abd88115222caebd94c59,train/bonafide/iphone15pro/arabic-005_03.jpg,0f1c951169aaab77ce868e4cb066958426a2e2aa5a02fb896c45662da887078c,"(2743, 1703)","(412, 256)",0.938490629196167,0.9810983538627625,0.04260772466659546,0.3510661721229553,0.19680047035217285,0.15426570177078247
arabic-005_03,iphone15pro,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/iphone15pro/arabic-005_03.jpg,d3188f576c20431853d7d6702a20e9177d9a025c908a493268867c3895e6a21e,train/attack/digital_2/iphone15pro/arabic-005_03.jpg,d52070b65eaf51e45d58a18212320d55b5ae62962e6abd88115222caebd94c59,"(2743, 1703)","(412, 256)",0.9310828447341919,0.984513521194458,0.05343067646026611,0.37882792949676514,0.18103855848312378,0.19778937101364136
arabic-005_03,scan,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/scan/arabic-005_03.jpg,b63e47a8930d3c234c88b6c93c86f4fe6f391bb9b9c67294e83b58fe9d90f383,train/bonafide/scan/arabic-005_03.jpg,7839393aeadbc2c9cbdebc4c72b5d61d6d7f48b2ba3b193e48207b330da5ff53,"(2001, 1248)","(410, 256)",0.9435727596282959,0.9875061511993408,0.04393339157104492,0.33832743763923645,0.16119298338890076,0.1771344542503357
arabic-005_03,scan,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/scan/arabic-005_03.jpg,fb91274f4b1423942ba2c1847374d096968f5e958cdb6b627347630f5ec2b430,train/bonafide/scan/arabic-005_03.jpg,7839393aeadbc2c9cbdebc4c72b5d61d6d7f48b2ba3b193e48207b330da5ff53,"(2001, 1248)","(410, 256)",0.9650609493255615,0.9914766550064087,0.026415705680847168,0.26547971367836,0.1327488124370575,0.1327309012413025
arabic-005_03,scan,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/scan/arabic-005_03.jpg,b63e47a8930d3c234c88b6c93c86f4fe6f391bb9b9c67294e83b58fe9d90f383,train/attack/digital_2/scan/arabic-005_03.jpg,fb91274f4b1423942ba2c1847374d096968f5e958cdb6b627347630f5ec2b430,"(2001, 1248)","(410, 256)",0.9691483974456787,0.9939230680465698,0.024774670600891113,0.24890738725662231,0.11050642281770706,0.13840096443891525
arabic-112_03,huawei,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/huawei/arabic-112_03.jpg,29b0053486f492d98eff55215576e7ccb15ebcbcd43d56744ec451e55c2bc61d,train/bonafide/huawei/arabic-112_03.jpg,c4eb6666899ce34aaf164197229a8a32050d121b21f7b9869dc6710bf2256dc8,"(3186, 1977)","(412, 256)",0.9325675964355469,0.9827749729156494,0.05020737648010254,0.37688806653022766,0.20578759908676147,0.1711004674434662
arabic-112_03,huawei,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/huawei/arabic-112_03.jpg,61041de2e01d8ebaed4bae19ac99bb0d9fbb46aa4acbc4f92c744141110c1c9a,train/bonafide/huawei/arabic-112_03.jpg,c4eb6666899ce34aaf164197229a8a32050d121b21f7b9869dc6710bf2256dc8,"(3186, 1977)","(412, 256)",0.9618552923202515,0.9896738529205322,0.02781856060028076,0.2819957435131073,0.15409691631793976,0.12789882719516754
arabic-112_03,huawei,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/huawei/arabic-112_03.jpg,29b0053486f492d98eff55215576e7ccb15ebcbcd43d56744ec451e55c2bc61d,train/attack/digital_2/huawei/arabic-112_03.jpg,61041de2e01d8ebaed4bae19ac99bb0d9fbb46aa4acbc4f92c744141110c1c9a,"(3186, 1977)","(412, 256)",0.9533762335777283,0.9898204803466797,0.036444246768951416,0.30669161677360535,0.14655357599258423,0.16013804078102112
arabic-112_03,iphone15pro,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/iphone15pro/arabic-112_03.jpg,46e03263cb7f8efda5418b240602241020ad024a00cf181a2c93bc7c414d490c,train/bonafide/iphone15pro/arabic-112_03.jpg,5bc11c2dcf123f22e36c25c6b0bc1cc97d6e98fbbd3114bb88f40b21ec829d57,"(2776, 1768)","(401, 256)",0.9438050985336304,0.9867868423461914,0.042981743812561035,0.33582958579063416,0.16567754745483398,0.17015203833580017
arabic-112_03,iphone15pro,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/iphone15pro/arabic-112_03.jpg,1f032b567fd1d866a3916f5c3150bc5e7e05a24223e14dd610184ee33179eae9,train/bonafide/iphone15pro/arabic-112_03.jpg,5bc11c2dcf123f22e36c25c6b0bc1cc97d6e98fbbd3114bb88f40b21ec829d57,"(2776, 1768)","(401, 256)",0.9555009007453918,0.9873502254486084,0.03184932470321655,0.29900673031806946,0.16078922152519226,0.1382175087928772
arabic-112_03,iphone15pro,digital_1_vs_digital_2,digital_1,digital_2,train/attack/digital_1/iphone15pro/arabic-112_03.jpg,46e03263cb7f8efda5418b240602241020ad024a00cf181a2c93bc7c414d490c,train/attack/digital_2/iphone15pro/arabic-112_03.jpg,1f032b567fd1d866a3916f5c3150bc5e7e05a24223e14dd610184ee33179eae9,"(2776, 1768)","(401, 256)",0.9649914503097534,0.9924094676971436,0.027418017387390137,0.26460739970207214,0.1235022321343422,0.14110516756772995
arabic-112_03,scan,digital_1_vs_bonafide,digital_1,bonafide,train/attack/digital_1/scan/arabic-112_03.jpg,c13751542fc56a6db589d8d18d88b7d5f8e8d9191fc7cb8a4ba5c90e09fb35b1,train/bonafide/scan/arabic-112_03.jpg,a83ca005a1b68787c18617619d7984e12933a2ac757b11342cdb242cff68c7ce,"(1999, 1244)","(411, 256)",0.9534069299697876,0.989412248134613,0.03600531816482544,0.30710458755493164,0.15245521068572998,0.15464937686920166
arabic-112_03,scan,digital_2_vs_bonafide,digital_2,bonafide,train/attack/digital_2/scan/arabic-112_03.jpg,ab4a947a18c9937a4baf6f49adfc568c2bb86fc9363f111056aa7a57f04a577d,train/bonafide/scan/arabic-112_03.jpg,a83ca005a1b68787c18617619d7984e12933a2ac757b11342cdb242cff68c7ce,"(1999, 1244)","(411, 256)",0.9707762598991394,0.9916695952415466,0.020893335342407227,0.24194632470607758,0.130642831325531,0.11130349338054657
