stem_family,source_cards,source_proportion,ideal_dev_cards,target_dev_cards,actual_dev_cards,dev_quota_delta,actual_project_train_cards,dev_proportion,project_train_proportion,dev_minus_source_proportion,dev_minus_source_percentage_points,present_in_dev,present_in_project_train
arabic,22,0.10426540284360189,5.317535545023697,5,5,0,17,0.09803921568627451,0.10625,-0.006226187157327381,-0.6226187157327381,True,True
chinese,23,0.10900473933649289,5.559241706161138,6,6,0,17,0.11764705882352941,0.10625,0.008642319487036518,0.8642319487036518,True,True
french,23,0.10900473933649289,5.559241706161138,6,6,0,17,0.11764705882352941,0.10625,0.008642319487036518,0.8642319487036518,True,True
indian,14,0.06635071090047394,3.3838862559241707,3,3,0,11,0.058823529411764705,0.06875,-0.007527181488709234,-0.7527181488709234,True,True
persian,17,0.08056872037914692,4.109004739336493,4,4,0,13,0.0784313725490196,0.08125,-0.002137347830127312,-0.2137347830127312,True,True
portugal,28,0.13270142180094788,6.767772511848341,7,7,0,21,0.13725490196078433,0.13125,0.004553480159836448,0.4553480159836448,True,True
russian,16,0.07582938388625593,3.867298578199052,4,4,0,12,0.0784313725490196,0.075,0.002601988662763677,0.2601988662763677,True,True
turkiye,25,0.11848341232227488,6.042654028436019,6,6,0,19,0.11764705882352941,0.11875,-0.0008363534987454735,-0.08363534987454735,True,True
ukraine,17,0.08056872037914692,4.109004739336493,4,4,0,13,0.0784313725490196,0.08125,-0.002137347830127312,-0.2137347830127312,True,True
usa,26,0.12322274881516587,6.2843601895734595,6,6,0,20,0.11764705882352941,0.125,-0.005575689991636462,-0.5575689991636462,True,True
