seed,file_stem,hardware_source,dev_bonafide_path,dev_digital1_path,dev_digital2_path,test_digital3_path,p_bonafide,p_digital1,p_digital2,p_digital3,margin_bonafide,margin_digital1,margin_digital2,margin_digital3,fixed_bonafide_attack,fixed_digital1_attack,fixed_digital2_attack,fixed_digital3_attack,fpr10_bonafide_attack,fpr10_digital1_attack,fpr10_digital2_attack,fpr10_digital3_attack,delta_p_d3_minus_d1,delta_p_d3_minus_d2,delta_p_d3_minus_mean_d1_d2,delta_margin_d3_minus_d1,delta_margin_d3_minus_d2,delta_margin_d3_minus_mean_d1_d2,d3_below_both_dev_attacks,d3_above_matched_bonafide,dev_attacks_fixed_detected_then_d3_missed,dev_attacks_fpr10_detected_then_d3_missed
8,arabic-024_03,huawei,train/bonafide/huawei/arabic-024_03.jpg,train/attack/digital_1/huawei/arabic-024_03.jpg,train/attack/digital_2/huawei/arabic-024_03.jpg,test/attack/digital_3/huawei/arabic-024_03.jpg,0.00038771510580924945,0.97086006798186675,0.99984510117490144,0.00070091381199924459,-7.8548519611358643,3.5060728788375854,8.7725834846496582,-7.2624244689941406,0,1,1,0,0,1,1,0,-0.97015915416986753,-0.99914418736290223,-0.98465167076638493,-10.768497347831726,-16.035007953643799,-13.401752650737762,1,1,1,1
8,arabic-024_03,iphone15pro,train/bonafide/iphone15pro/arabic-024_03.jpg,train/attack/digital_1/iphone15pro/arabic-024_03.jpg,train/attack/digital_2/iphone15pro/arabic-024_03.jpg,test/attack/digital_3/iphone15pro/arabic-024_03.jpg,0.00033887475065308637,0.62099365477248525,0.99517611900016167,0.00040027639993706353,-7.9895410537719727,0.49376791715621948,5.329340934753418,-7.8229548931121826,0,1,1,0,0,1,1,0,-0.62059337837254813,-0.99477584260022456,-0.8076846104863864,-8.3167228102684021,-13.152295827865601,-10.734509319067001,1,1,1,1
8,arabic-024_03,scan,train/bonafide/scan/arabic-024_03.jpg,train/attack/digital_1/scan/arabic-024_03.jpg,train/attack/digital_2/scan/arabic-024_03.jpg,test/attack/digital_3/scan/arabic-024_03.jpg,0.0007027605177173233,0.99999558480381057,0.99997930539603119,0.0007802544750794496,-7.259791374206543,12.330453872680664,10.785616874694824,-7.1551098823547363,0,1,1,0,0,1,1,0,-0.99921533032873111,-0.99919905092095174,-0.99920719062484142,-19.4855637550354,-17.940726757049561,-18.71314525604248,1,1,1,1
8,arabic-120_03,huawei,train/bonafide/huawei/arabic-120_03.jpg,train/attack/digital_1/huawei/arabic-120_03.jpg,train/attack/digital_2/huawei/arabic-120_03.jpg,test/attack/digital_3/huawei/arabic-120_03.jpg,0.00018016786679070571,0.99995808324290991,0.99977082817429741,0.00029726003906792601,-8.6214413642883301,10.079782962799072,8.3808093070983887,-8.1206059455871582,0,1,1,0,0,1,1,0,-0.99966082320384198,-0.99947356813522947,-0.99956719566953567,-18.20038890838623,-16.501415252685547,-17.350902080535889,1,1,1,1
8,arabic-120_03,iphone15pro,train/bonafide/iphone15pro/arabic-120_03.jpg,train/attack/digital_1/iphone15pro/arabic-120_03.jpg,train/attack/digital_2/iphone15pro/arabic-120_03.jpg,test/attack/digital_3/iphone15pro/arabic-120_03.jpg,0.00013296355659021228,0.99996831582660717,0.99739461498789339,0.00017256843270060484,-8.9253025054931641,10.35966157913208,5.947566032409668,-8.6645441055297852,0,1,1,0,0,1,1,0,-0.99979574739390653,-0.99722204655519275,-0.99850889697454959,-19.024205684661865,-14.612110137939453,-16.818157911300659,1,1,1,1
8,arabic-120_03,scan,train/bonafide/scan/arabic-120_03.jpg,train/attack/digital_1/scan/arabic-120_03.jpg,train/attack/digital_2/scan/arabic-120_03.jpg,test/attack/digital_3/scan/arabic-120_03.jpg,0.00015599165468768407,0.9999983626083212,0.99981192751591685,0.0002032515166784877,-8.7655520439147949,13.322404384613037,8.5784950256347656,-8.5008630752563477,0,1,1,0,0,1,1,0,-0.99979511109164276,-0.99960867599923842,-0.99970189354544059,-21.823267459869385,-17.079358100891113,-19.451312780380249,1,1,1,1
8,arabic-NF-1048,huawei,train/bonafide/huawei/arabic-NF-1048.jpg,train/attack/digital_1/huawei/arabic-NF-1048.jpg,train/attack/digital_2/huawei/arabic-NF-1048.jpg,test/attack/digital_3/huawei/arabic-NF-1048.jpg,0.00017002254009103554,0.9999884723487823,0.9999590290690995,0.00021896202248617772,-8.6794095039367676,11.370750427246094,10.102606773376465,-8.4263932704925537,0,1,1,0,0,1,1,0,-0.99976951032629613,-0.99974006704661333,-0.99975478868645473,-19.797143697738647,-18.529000043869019,-19.163071870803833,1,1,1,1
8,arabic-NF-1048,iphone15pro,train/bonafide/iphone15pro/arabic-NF-1048.jpg,train/attack/digital_1/iphone15pro/arabic-NF-1048.jpg,train/attack/digital_2/iphone15pro/arabic-NF-1048.jpg,test/attack/digital_3/iphone15pro/arabic-NF-1048.jpg,8.2346882387186187e-05,0.99999709440487028,0.99802170721324612,0.00014038383712504759,-9.4044876098632812,12.7488694190979,6.2235407829284668,-8.8709897994995117,0,1,1,0,0,1,1,0,-0.99985671056774528,-0.99788132337612112,-0.9988690169719332,-21.619859218597412,-15.094530582427979,-18.357194900512695,1,1,1,1
8,arabic-NF-1048,scan,train/bonafide/scan/arabic-NF-1048.jpg,train/attack/digital_1/scan/arabic-NF-1048.jpg,train/attack/digital_2/scan/arabic-NF-1048.jpg,test/attack/digital_3/scan/arabic-NF-1048.jpg,0.000209947686256955,0.99999983156784089,0.99987103648248232,0.00028324756319270312,-8.4684422016143799,15.596732616424561,8.9558520317077637,-8.1689059734344482,0,1,1,0,0,1,1,0,-0.99971658400464813,-0.99958778891928957,-0.99965218646196885,-23.765638589859009,-17.124758005142212,-20.44519829750061,1,1,1,1
8,arabic-NF-1098,huawei,train/bonafide/huawei/arabic-NF-1098.jpg,train/attack/digital_1/huawei/arabic-NF-1098.jpg,train/attack/digital_2/huawei/arabic-NF-1098.jpg,test/attack/digital_3/huawei/arabic-NF-1098.jpg,0.000659070119118522,0.99999923576896832,0.9999999953159866,0.00077251614204960472,-7.3240213394165039,14.084394931793213,19.179110527038574,-7.1650848388671875,0,1,1,0,0,1,1,0,-0.99922671962691867,-0.99922747917393695,-0.99922709940042787,-21.2494797706604,-26.344195365905762,-23.796837568283081,1,1,1,1
8,arabic-NF-1098,iphone15pro,train/bonafide/iphone15pro/arabic-NF-1098.jpg,train/attack/digital_1/iphone15pro/arabic-NF-1098.jpg,train/attack/digital_2/iphone15pro/arabic-NF-1098.jpg,test/attack/digital_3/iphone15pro/arabic-NF-1098.jpg,6.413946775493841e-05,0.99995753096343942,0.99999998067808427,9.045290757154539e-05,-9.6543865203857422,10.06669282913208,17.762025833129883,-9.3105907440185547,0,1,1,0,0,1,1,0,-0.99986707805586783,-0.99990952777051267,-0.9998883029131902,-19.377283573150635,-27.072616577148438,-23.224950075149536,1,1,1,1
8,arabic-NF-1098,scan,train/bonafide/scan/arabic-NF-1098.jpg,train/attack/digital_1/scan/arabic-NF-1098.jpg,train/attack/digital_2/scan/arabic-NF-1098.jpg,test/attack/digital_3/scan/arabic-NF-1098.jpg,0.00011817072199211382,0.99999946717927124,0.99999997763484749,0.00016932629210308765,-9.0432620048522949,14.445080280303955,17.615761756896973,-8.6835136413574219,0,1,1,0,0,1,1,0,-0.99983014088716815,-0.9998306513427444,-0.99983039611495628,-23.128593921661377,-26.299275398254395,-24.713934659957886,1,1,1,1
8,arabic-NM-1090,huawei,train/bonafide/huawei/arabic-NM-1090.jpg,train/attack/digital_1/huawei/arabic-NM-1090.jpg,train/attack/digital_2/huawei/arabic-NM-1090.jpg,test/attack/digital_3/huawei/arabic-NM-1090.jpg,0.00041005473564614955,0.99998127580751883,0.99986794228064457,0.00047828940254702942,-7.7988097667694092,10.885675430297852,8.9321393966674805,-7.6448161602020264,0,1,1,0,0,1,1,0,-0.99950298640497182,-0.99938965287809756,-0.99944631964153463,-18.530491590499878,-16.576955556869507,-17.553723573684692,1,1,1,1
8,arabic-NM-1090,iphone15pro,train/bonafide/iphone15pro/arabic-NM-1090.jpg,train/attack/digital_1/iphone15pro/arabic-NM-1090.jpg,train/attack/digital_2/iphone15pro/arabic-NM-1090.jpg,test/attack/digital_3/iphone15pro/arabic-NM-1090.jpg,8.7267424548802638e-05,0.99960122696464737,0.95999502479344001,0.00011160970749937196,-9.3464460372924805,7.8267192840576172,3.1779242753982544,-9.1003909111022949,0,1,1,0,0,1,1,0,-0.99948961725714802,-0.95988341508594066,-0.97968651617154434,-16.927110195159912,-12.278315186500549,-14.602712690830231,1,1,1,1
